"","year","top1_share_Roikonen_2022","top1_share_taxable","top1_share_taxable_nocorp","top1_share_taxable_nocorp_GDP","top1_share_taxed_GDP","top1_share_taxed","Gini_taxable","Gini_taxable_nocorp","Gini_taxed","max_Gini","top1_average_taxable","top1_average_taxed","top1_average_nocorp_taxable","top1_share_nocorp_taxable_househ","top1_average_nocorp_taxable_househ","reference_total","dividends","tax_units_filers_nocorp","dividends_pc","average_pc_taxable_nocorp","average_pc_taxed_nocorp","average_pc_taxable_nocorp_div","households","total_tax_units","top1_share_noncorp_taxable_exp_househ","top1_share_noncorp_taxable_div_exp_househ","top1_share_noncorp_taxable_div_GDP_exp_househ","top1_average_nocorp_taxable_div_exp_househ","total_taxable_exp_househ","total_taxable_exp_div_househ","total_taxable_pc_exp_househ","total_taxable_div_pc_exp_househ","Gini_taxable_merged_nocorp_exp_househ","Gini_taxable_merged_div_nocorp_exp_househ","Gini_taxed_merged_exp","top1_share_noncorp_taxed_div_exp_househ","top1_share_noncorp_taxed_div_exp_total","top1_share_noncorp_taxed_exp_total_GDP","bottom50_share_taxable_taxed_div_exp","lowmidshare_taxable_taxed_div_exp","individual_tax_units","control_pop","total_taxable_nocorp_div","top1_share_w_corp_taxable_househ","top1_share_GDP_Roikonen_2022","top1_share_taxable_nocorp_div","top1_share_taxable_nocorp_div_GDP","top1_average_w_corp_taxable_househ","total_pc_taxable_exp_w_corp_househ"
"1",1865,0.239,0.0830740474249548,0.0707140072405629,0.0325230859673144,NA,NA,0.156061280593622,0.141609383723041,NA,0.477,12710.3292560181,NA,10748.5291005655,0.147081622321594,4218.18992318534,266.1,771100,80513,9.57733533715052,1520,NA,1529.57733533715,428782,NA,0.130847079018669,0.13158690508136,0.122224683666131,4280.19504440725,247167362.918429,247938462.918429,576.440622317237,578.238972061396,0.512168900184841,0.512313709380171,NA,NA,NA,NA,0.166802143661815,0.565144831669523,NA,NA,123150860,0.141018893373006,0.114784667418264,0.0722044573690711,0.0333945208316974,4576.01293042838,578.3272143177
"2",1866,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1867,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1868,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1869,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1870,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1871,0.212,0.0735349179627455,0.0608353148121685,0.0247016620126465,NA,NA,0.197657508201899,0.18463505154301,NA,0.508,9633.07425311965,NA,7908.5909255819,0.11452708145218,3167.77033803901,286.8,923200,89572,10.3067923011655,1300,NA,1310.30679230117,418372,NA,0.101727911959518,0.102904735088353,0.0666269329591105,3240.55625518746,185692177.879535,186615377.879535,443.844659488529,446.051308117023,0.50135854718688,0.501563794347229,NA,NA,NA,NA,0.157015546350351,0.569543763511866,NA,NA,117366800,0.112690719786747,0.0835285913528591,0.0627071806740352,0.0256520470699302,3536.14165135965,446.000080978097
"8",1872,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1873,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1874,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1876,0.249,0.0775245534610926,0.072514308621309,0.0323586834621918,NA,NA,0.175970002584873,0.171850959905275,NA,0.678,11163.5356983973,NA,10369.5461328472,0.113876775909263,4652.67970143561,403.9,1329200,126031,10.5466115479525,1430,NA,1440.54661154795,442731,NA,0.115265043718656,0.11548229989842,0.0727901593954951,4745.82566787726,254583996.038364,255913196.038364,575.03087888213,578.033153400969,0.437627832557329,0.438152388859536,NA,NA,NA,NA,0.147518261395208,0.561798985597278,NA,NA,181553530,0.120268833359367,0.0826095568209953,0.0742561422335118,0.0333737511629998,3768.38947278263,628.986346444213
